1,0
2,1
3,1
4,2
5,3
6,3
7,3
8,4
9,4
10,4
11,4
12,5
13,5
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,8
23,8
24,8
25,8
26,8
27,8
28,9
29,9
30,9
31,9
32,11
33,11
34,12
35,14
36,16
37,20
38,24
39,27
40,30
41,33
42,45
43,51
44,57
45,62
46,77
47,93
48,103
49,138
50,176
51,244
52,304
53,424
54,569
55,690
56,846
57,971
58,1302
59,1430
60,1646
61,1959
62,3385
63,4018
64,4675
65,5386
66,6255
67,7424
68,8536
69,9595
70,11268
71,12519
72,13882
73,15496
74,16653
75,17883
76,19274
77,20748
78,22133
79,23301
80,24365
81,25663
82,27046
83,28364
84,30081
85,31872
86,33341
87,34777
88,36823
89,38413
90,40179
91,42099
92,43877
93,45341
94,46884
95,48489
96,50015
97,51587
98,53236
99,55061
100,56714
101,59474
102,60772
103,62046
104,63496
105,64922
106,66434
107,67702
108,68848
109,69981
110,71157
111,72278
112,73401
113,74602
114,75853
115,76991
116,78061
117,79101
118,80091
119,81313
120,82469
121,83610
122,84688
123,85700
124,86636
125,87508
126,88501
127,89407
128,90179
129,90936
130,91694
131,92399
132,93074
133,93715
134,94324
135,95046
136,95688
137,96233
138,96642
139,97114
140,97519
141,97932
142,98399
143,98776
144,99136
145,99456
146,99842
147,100209
148,100618
149,101008
150,101326
151,101637
152,101963
153,102242
